id,tenant_id,title,description,priority,status,due_date,completed,completed_at,contact_id,deal_id,assigned_to,created_at,created_by
d4605267-db24-4339-9ab3-494a50c4a249,6e2684b5-dd18-4549-8440-7276b577d2b5,Prepare presentation,Task description for update pipeline,urgent,completed,,True,2026-07-09T06:54:03.799325,,d9b7731f-f463-428c-bcea-1cf929f2ae03,9d990953-1d48-4691-9104-88f3d84dc63c,2025-08-14T23:36:03.799355,7223e10a-b124-4a7f-a342-f0f59020ba2f
65cac53e-9271-4632-bee4-910ca3e001dc,6e2684b5-dd18-4549-8440-7276b577d2b5,Customer survey,Task description for prepare presentation,urgent,completed,,True,2026-05-25T08:56:10.799373,715ad453-6630-4f51-bf8b-b4ae45460add,,63c904bb-37e1-42e9-b828-03d273915302,2025-10-21T08:38:22.799383,9d990953-1d48-4691-9104-88f3d84dc63c
de0faf8e-4e57-4569-91b6-a24db0be0148,6e2684b5-dd18-4549-8440-7276b577d2b5,Budget planning,Task description for security audit,high,cancelled,2026-08-08T22:24:00.799397,False,,,,7675c849-0f1f-4fa3-923c-f392ea4a2f35,2026-03-26T01:40:59.799404,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb
08d78dee-8b4b-458e-af74-6058f10bd6fc,6e2684b5-dd18-4549-8440-7276b577d2b5,Onboard new client,Task description for update crm records,low,completed,,True,2026-04-23T20:10:12.799430,b52bdf8c-954d-4c34-9bab-597ad6773efd,,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb,2026-03-20T18:33:00.799437,13f891f6-02c5-48a2-bb4f-65f664be06a0
4091f405-c06f-4810-af88-6f2826b925c2,6e2684b5-dd18-4549-8440-7276b577d2b5,Prepare presentation,Task description for security audit,urgent,deferred,2026-11-25T12:48:59.799451,False,,,,876017f1-7629-48e0-9ce9-20b44276c7d6,2026-05-22T14:15:19.799458,f26bd177-029d-4863-993c-dfebe5004897
da91d4f6-53fd-43f2-92be-39bbdbb51fd7,6e2684b5-dd18-4549-8440-7276b577d2b5,Budget planning,Task description for send invoice,high,on_hold,2027-01-07T08:24:46.799473,False,,,,71030eb2-1621-4863-8e2d-b6184abb7f32,2026-06-24T21:41:05.799481,7675c849-0f1f-4fa3-923c-f392ea4a2f35
911a770f-b858-4249-96f2-455f61ddeeb6,6e2684b5-dd18-4549-8440-7276b577d2b5,Content creation,Task description for follow up with lead,low,on_hold,2026-10-17T13:00:24.799494,False,,,,9d990953-1d48-4691-9104-88f3d84dc63c,2026-02-09T07:10:16.799501,7675c849-0f1f-4fa3-923c-f392ea4a2f35
99899709-fe2b-459c-8321-fd475a4595f7,6e2684b5-dd18-4549-8440-7276b577d2b5,Budget planning,Task description for training session,medium,deferred,2026-12-27T14:01:30.799519,False,,,ec75a6f0-f8ab-4a79-b336-d972ac9288b7,63c904bb-37e1-42e9-b828-03d273915302,2026-06-08T03:14:59.799528,f26bd177-029d-4863-993c-dfebe5004897
6726d78d-9424-44fc-af0e-f106d87eb9f8,6e2684b5-dd18-4549-8440-7276b577d2b5,Review contract,Task description for quality check,urgent,on_hold,2026-09-11T02:14:07.799547,False,,d0ede04a-10f9-4f13-a697-a8d66a6d16cd,,13f891f6-02c5-48a2-bb4f-65f664be06a0,2026-06-15T01:39:13.799556,f26bd177-029d-4863-993c-dfebe5004897
16dd6240-6171-4a05-8f87-2c8784bf105a,6e2684b5-dd18-4549-8440-7276b577d2b5,Webinar prep,Task description for call back customer,medium,deferred,2026-09-28T23:28:25.799569,False,,,b1972594-97fb-4e28-9193-a8f8dc8eabd2,8e8f6232-b5f8-466d-98c1-6a9d8090c3eb,2025-12-24T08:30:04.799577,8b51f21b-0da9-4139-8f04-0ef4187ce705
